Movie_7,genres,Comedy|Romance
Movie_7,title,Sabrina (1995)
Movie_7,type,Movie
Movie_2,genres,Adventure|Children|Fantasy
Movie_2,title,Jumanji (1995)
Movie_2,type,Movie
Movie_3,genres,Comedy|Romance
Movie_3,title,Grumpier Old Men (1995)
Movie_3,type,Movie
Movie_8,genres,Adventure|Children
Movie_8,title,Tom and Huck (1995)
Movie_8,type,Movie
Movie_6,genres,Action|Crime|Thriller
Movie_6,title,Heat (1995)
Movie_6,type,Movie
Movie_10,genres,Action|Adventure|Thriller
Movie_10,title,GoldenEye (1995)
Movie_10,type,Movie
Movie_5,genres,Comedy
Movie_5,title,Father of the Bride Part II (1995)
Movie_5,type,Movie
Movie_4,genres,Comedy|Drama|Romance
Movie_4,title,Waiting to Exhale (1995)
Movie_4,type,Movie
Movie_1,genres,Adventure|Animation|Children|Comedy|Fantasy
Movie_1,title,Toy Story (1995)
Movie_1,type,Movie
Movie_9,genres,Action
Movie_9,title,Sudden Death (1995)
Movie_9,type,Movie
Movie_11,genres,Comedy|Drama|Romance
Movie_11,title,"American President, The (1995)"
Movie_11,type,Movie
Movie_19,genres,Comedy
Movie_243,type,Movie
Movie_250,genres,Children|Comedy
Movie_250,title,Heavyweights (Heavy Weights) (1995)
Movie_250,type,Movie
Movie_247,genres,Crime|Drama
Movie_247,title,Heavenly Creatures (1994)
Movie_247,type,Movie
Movie_248,genres,Comedy
Movie_248,title,Houseguest (1994)
Movie_248,type,Movie
Movie_242,genres,Drama|Musical
Movie_242,title,Farinelli: il castrato (1994)
Movie_242,type,Movie
Movie_251,genres,Action
Movie_251,title,"Hunted, The (1995)"
Movie_251,type,Movie
Movie_240,genres,Thriller
Movie_121,genres,Drama
Movie_121,title,"Boys of St. Vincent, The (1992)"
Movie_121,type,Movie
Movie_113,genres,Drama|Mystery
Movie_113,title,Before and After (1996)
Movie_113,type,Movie
Movie_117,genres,Crime|Drama
Movie_117,title,"Young Poisoner's Handbook, The (1995)"
Movie_117,type,Movie
Movie_116,genres,Documentary
Movie_116,title,Anne Frank Remembered (1995)
Movie_116,type,Movie
Movie_112,genres,Action|Adventure|Comedy|Crime
Movie_112,title,Rumble in the Bronx (Hont faan kui) (1995)
Movie_112,type,Movie
Movie_119,genres,Comedy
Movie_119,title,"Steal Big, Steal Little (1995)"
Movie_342,genres,Comedy
Movie_342,title,Muriel's Wedding (1994)
Movie_342,type,Movie
Movie_337,genres,Drama
Movie_337,title,What's Eating Gilbert Grape (1993)
Movie_337,type,Movie
Movie_352,genres,Comedy|Drama
Movie_352,title,Crooklyn (1994)
Movie_352,type,Movie
